"","age","day","grp.job","marital","education","housing","loan","contact","grp.month","grp.duration","grp.campaign","grp.pdays","grp.previous","y.subscribe","train.subscribe"
"23052",35,26,"3","2","3","0","0","2","2","0","1","0","0",0,0
"25257",44,18,"3","2","2","1","0","2","3","0","1","1","1",0,0
"10990",60,17,"2","2","3","0","0","0","2","2","1","0","0",1,0
"19658",57,7,"0","2","2","0","0","2","2","0","1","0","0",0,0
"27608",52,21,"2","2","3","0","1","2","3","0","1","0","0",0,0
"25829",30,19,"3","1","2","1","0","2","3","0","0","0","0",0,0
"5248",33,23,"1","2","2","1","0","0","1","0","1","0","0",0,0
"44502",56,10,"3","0","2","0","0","2","2","2","0","1","1",1,0
"22688",48,25,"2","1","3","0","0","2","2","2","2","0","0",1,0
"21507",56,19,"1","2","2","0","0","2","2","2","2","0","0",0,0
"6780",27,28,"0","1","2","1","0","0","1","2","0","0","0",0,0
"17280",53,28,"1","2","1","0","0","2","2","2","1","0","0",1,0
"5366",56,23,"0","2","2","1","0","0","1","1","0","0","0",0,0
"28680",46,30,"2","2","0","1","0","2","0","2","0","1","1",0,0
"41382",26,1,"2","1","3","0","0","2","3","0","1","0","0",0,0
"21723",46,19,"3","2","2","0","0","2","2","0","1","0","0",0,0
"12185",35,20,"2","2","3","0","0","0","2","0","1","0","0",0,0
"34671",30,5,"3","1","2","1","1","2","1","2","1","2","2",1,0
"30542",26,5,"2","1","3","0","0","2","0","0","1","0","0",0,0
"24342",54,17,"3","2","2","1","0","2","3","0","0","0","0",0,0
"2745",54,14,"1","0","1","1","0","0","1","2","1","0","0",0,0
"9654",38,6,"1","2","2","0","0","0","2","2","2","0","0",0,0
"3183",58,15,"2","2","3","1","0","0","1","1","1","0","0",0,0
"40927",25,12,"2","1","3","0","0","2","2","1","1","1","1",0,0
"29445",32,3,"3","2","2","1","0","2","0","1","1","2","1",0,0
"44272",33,23,"2","1","3","0","0","2","2","0","2","1","1",0,0
"43261",28,9,"2","1","3","0","0","2","1","1","0","0","0",1,0
"42649",40,13,"2","2","3","0","0","2","0","0","1","2","1",0,0
"39156",35,18,"3","1","2","1","0","2","1","1","1","0","0",0,0
"34954",32,6,"3","2","2","1","0","2","1","2","1","1","2",1,0
"17438",36,28,"3","2","2","1","0","2","2","0","1","0","0",0,0
"14549",34,15,"3","2","2","1","0","2","2","1","1","0","0",0,0
"26788",53,20,"2","0","3","0","0","2","3","0","1","0","0",0,0
"29442",31,3,"3","1","2","1","0","2","0","0","0","2","2",0,0
"44466",37,6,"2","2","2","0","0","2","2","0","0","1","1",1,0
"26015",30,19,"2","2","3","1","0","2","3","1","1","1","1",0,0
"39901",35,2,"3","2","2","1","1","2","2","2","0","0","0",0,0
"38941",41,18,"1","0","1","1","0","2","1","0","0","0","0",0,0
"29903",56,4,"2","0","3","0","0","2","0","0","0","0","0",0,0
"12176",58,20,"3","0","2","0","0","0","2","0","2","0","0",0,0
"44631",55,1,"3","2","2","0","0","2","3","1","0","1","1",1,0
"38581",37,15,"3","2","2","1","1","2","1","1","2","0","0",0,0
"9217",59,5,"2","2","1","0","1","0","2","0","0","0","0",0,0
"31511",22,2,"0","1","2","1","0","2","1","0","0","0","0",0,0
"14036",26,11,"1","2","2","1","0","2","2","1","0","0","0",0,0
"36591",45,12,"1","2","1","1","1","2","1","0","2","2","1",0,0
"9018",53,5,"2","2","3","0","0","0","2","0","0","0","0",0,0
"37038",32,13,"3","1","2","1","0","2","1","0","1","1","1",0,0
"2795",45,14,"3","2","2","1","1","0","1","1","1","0","0",0,0
"1992",44,9,"0","2","2","1","0","0","1","0","1","0","0",0,0
"10317",57,12,"2","2","2","1","0","0","2","0","0","0","0",0,0
"32149",32,15,"3","1","2","0","0","2","1","0","0","0","0",1,0
"12665",29,4,"1","1","1","0","0","2","2","0","1","0","0",0,0
"44473",31,6,"1","1","2","0","0","2","2","2","0","1","1",1,0
"17616",59,29,"0","2","3","0","0","2","2","0","2","0","0",0,0
"45097",63,25,"0","2","2","0","0","2","3","2","0","1","1",1,0
"10419",37,12,"3","2","2","1","0","0","2","2","1","0","0",0,0
"23949",44,29,"3","2","2","0","1","2","2","0","2","0","0",0,0
"40068",26,4,"0","1","2","0","0","2","2","1","0","0","0",1,0
"4192",38,19,"2","2","2","1","0","0","1","0","1","0","0",0,0
"44578",27,17,"3","1","2","0","0","0","2","0","0","0","0",0,0
"29728",48,4,"3","2","2","0","1","2","0","0","0","0","0",0,0
"34506",26,5,"3","1","3","1","0","2","1","0","0","0","0",0,0
"33864",47,30,"1","2","2","1","0","2","1","1","0","1","1",0,0
"30737",35,6,"3","0","2","0","1","2","0","0","2","2","1",0,0
"19958",35,8,"3","2","3","0","0","2","2","2","1","0","0",0,0
"19535",59,7,"3","2","2","0","1","2","2","0","1","0","0",0,0
"32290",32,16,"3","2","2","1","0","2","1","0","0","0","0",0,0
"14365",34,14,"2","2","3","1","0","2","2","2","1","0","0",1,0
"2129",35,12,"1","2","2","1","0","0","1","2","1","0","0",0,0
"32684",40,17,"3","1","2","1","0","2","1","1","0","2","1",0,0
"44071",31,2,"0","1","2","0","0","2","2","2","0","0","0",1,0
"27638",58,21,"2","2","2","0","1","2","3","0","1","0","0",0,0
"32989",54,17,"2","2","1","1","0","2","1","0","1","0","0",0,0
"19206",61,6,"0","2","2","0","0","2","2","2","2","0","0",1,0
"2171",47,12,"2","2","0","1","0","0","1","2","1","0","0",0,0
"22335",31,22,"3","0","3","0","0","2","2","0","1","0","0",0,0
"44224",32,17,"3","2","1","1","0","0","2","0","0","0","0",0,0
"25815",42,19,"2","2","3","1","0","2","3","0","1","1","1",0,0
"40685",34,7,"2","2","3","0","0","2","2","0","1","0","0",0,0
"10195",48,11,"2","2","2","0","0","0","2","2","2","0","0",0,0
"6682",33,28,"3","2","3","1","1","0","1","0","0","0","0",0,0
"1355",42,8,"1","0","2","1","1","0","1","0","0","0","0",0,0
"20749",38,13,"3","2","3","1","0","2","2","0","1","0","0",0,0
"40876",35,12,"1","2","3","0","0","2","2","2","1","1","1",0,0
"35094",25,6,"3","1","2","1","0","2","1","1","1","0","0",0,0
"33161",43,20,"3","2","2","1","0","2","1","0","1","2","1",0,0
"28915",36,2,"1","2","2","1","0","1","0","0","2","0","0",0,0
"24448",46,17,"2","1","2","0","0","2","3","0","1","0","0",0,0
"44583",61,18,"0","2","3","0","0","2","2","1","2","1","1",0,0
"17000",32,25,"3","2","2","1","0","2","2","0","2","0","0",0,0
"45179",34,12,"1","2","2","1","0","2","3","2","0","1","1",1,0
"15211",51,17,"3","2","2","1","0","2","2","2","1","0","0",0,0
"16472",27,23,"3","2","2","1","0","2","2","1","1","0","0",1,0
"968",29,7,"3","1","2","1","0","0","1","0","2","0","0",0,0
"17548",58,29,"3","2","2","0","0","1","2","0","1","0","0",0,0
"21951",33,20,"3","1","2","1","0","2","2","0","2","0","0",0,0
"33783",22,23,"3","1","2","0","0","2","1","0","0","0","0",0,0
"3885",29,16,"2","1","2","1","0","0","1","0","1","0","0",0,0
"3162",43,14,"3","2","2","1","0","0","1","1","1","0","0",0,0
"38122",27,15,"3","1","2","1","0","1","1","1","2","0","0",0,0
"7471",32,29,"2","1","3","0","0","0","1","0","2","0","0",0,0
"4382",44,19,"3","2","1","1","0","0","1","0","2","0","0",0,0
"20599",49,12,"1","2","1","0","0","2","2","1","2","0","0",0,0
"30288",56,5,"2","2","3","1","0","2","0","2","0","0","0",0,0
"1312",35,8,"3","1","2","1","0","0","1","1","1","0","0",0,0
"28453",31,29,"1","2","2","0","1","2","0","0","0","0","0",0,0
"27949",34,28,"0","1","2","0","0","2","0","0","0","0","0",0,0
"41113",26,17,"2","1","3","1","0","2","2","0","0","0","0",0,0
"26469",35,20,"3","1","2","1","0","2","3","0","2","1","1",0,0
"39876",38,2,"3","2","3","0","0","2","2","0","0","1","1",1,0
"27861",41,28,"1","2","1","0","0","2","0","1","0","0","0",0,0
"13967",35,10,"3","2","2","1","1","2","2","1","2","0","0",0,0
"39479",28,25,"2","1","3","0","0","2","1","2","1","0","0",1,0
"43036",32,15,"3","2","2","1","0","2","0","0","2","1","1",1,0
"16421",32,23,"1","2","2","1","0","2","2","2","2","0","0",1,0
"22289",47,21,"2","2","2","0","0","2","2","1","2","0","0",0,0
"42073",37,30,"2","2","3","1","0","2","3","0","2","1","2",0,0
"43346",29,23,"2","1","3","0","0","2","1","0","0","2","1",1,0
"20065",34,8,"2","2","3","0","0","2","2","0","1","0","0",0,0
"34735",46,6,"2","2","3","1","0","2","1","0","2","2","1",0,0
"39282",39,18,"3","2","2","1","0","2","1","0","1","2","1",0,0
"13151",54,8,"2","2","3","0","1","2","2","2","0","0","0",0,0
"38504",30,15,"2","1","3","1","0","2","1","1","1","2","1",0,0
"5783",50,26,"1","2","1","1","1","0","1","0","0","0","0",0,0
"2852",42,14,"2","2","3","1","0","0","1","0","0","0","0",0,0
"16696",49,24,"2","2","2","1","0","2","2","0","1","0","0",0,0
"15085",47,17,"1","2","1","0","1","2","2","2","0","0","0",0,0
"28857",39,30,"2","2","2","1","0","2","0","0","1","0","0",0,0
"1796",60,9,"3","2","1","1","0","0","1","2","1","0","0",1,0
"15973",43,22,"3","2","2","1","1","2","2","1","0","0","0",0,0
"2518",44,13,"3","2","2","1","0","0","1","0","0","0","0",0,0
"44442",45,5,"1","1","2","0","0","2","2","2","1","2","1",1,0
"17326",51,28,"2","2","3","0","0","2","2","0","2","0","0",0,0
"8611",40,3,"2","1","3","1","0","0","2","0","1","0","0",0,0
"21334",57,18,"1","2","2","0","0","2","2","0","2","0","0",0,0
"43121",54,24,"3","2","2","0","0","2","0","0","0","1","1",0,0
"35246",34,7,"3","1","2","1","0","2","1","0","0","0","0",0,0
"22626",57,22,"1","2","0","0","0","2","2","0","0","0","0",0,0
"22754",36,25,"3","1","2","0","0","2","2","0","1","0","0",0,0
"1567",51,8,"1","2","1","1","0","0","1","1","1","0","0",0,0
"4165",42,19,"2","1","1","1","0","0","1","0","2","0","0",0,0
"15116",31,17,"3","1","2","1","1","2","2","0","0","0","0",0,0
"16667",26,24,"2","1","2","1","0","2","2","1","0","0","0",0,0
"13356",46,8,"3","2","2","1","1","2","2","1","2","0","0",0,0
"8036",38,2,"2","2","2","1","0","0","2","2","0","0","0",0,0
"25029",46,18,"3","1","2","1","0","2","3","0","0","0","0",0,0
"44803",31,15,"2","1","3","0","0","2","3","1","1","2","1",1,0
"17514",57,29,"3","2","1","1","0","2","2","0","2","0","0",0,0
"33784",25,23,"1","1","2","0","0","2","1","0","0","0","0",1,0
"18054",51,30,"3","2","2","0","1","1","2","0","2","0","0",0,0
"20902",41,13,"3","1","3","0","0","2","2","1","2","0","0",0,0
"43315",70,16,"0","2","1","0","0","2","1","2","0","0","0",0,0
"3025",32,14,"3","1","0","0","0","0","1","2","1","0","0",0,0
"25896",30,19,"3","2","2","0","1","1","3","0","0","0","0",0,0
"21292",58,18,"1","2","2","0","0","2","2","0","2","0","0",0,0
"19776",32,8,"3","2","2","0","0","2","2","0","2","0","0",0,0
"17398",55,28,"3","2","2","1","0","2","2","0","1","0","0",0,0
"950",35,7,"3","1","2","1","0","0","1","0","0","0","0",0,0
"34386",23,4,"0","1","2","0","0","1","1","2","0","0","0",0,0
"44966",36,10,"2","1","3","0","0","0","3","0","0","2","1",0,0
"39715",25,27,"3","1","3","1","0","2","1","1","1","1","1",1,0
"34340",56,4,"0","2","1","0","0","2","1","2","1","0","0",1,0
"19926",55,8,"1","2","1","0","0","2","2","0","1","0","0",0,0
"30427",57,5,"3","2","1","0","1","2","0","2","0","1","1",0,0
"27958",38,28,"2","2","3","0","0","2","0","0","0","0","0",0,0
"2964",40,14,"3","0","2","1","0","0","1","0","0","0","0",0,0
"13135",30,8,"0","1","0","0","1","2","2","0","0","0","0",0,0
"7792",46,30,"1","2","1","1","0","0","1","0","1","0","0",0,0
"27567",30,21,"1","1","2","0","0","2","3","0","1","0","0",0,0
"31196",37,27,"3","2","2","0","0","2","0","0","0","0","0",0,0
"20601",55,12,"1","2","2","1","0","2","2","0","1","0","0",0,0
"1474",37,8,"3","1","2","1","0","0","1","0","1","0","0",0,0
"35682",33,8,"3","1","2","1","0","2","1","1","0","0","0",0,0
"10861",56,17,"0","0","2","0","0","0","2","0","0","0","0",0,0
"26089",42,19,"3","2","2","1","1","2","3","1","1","0","0",0,0
"24932",32,18,"2","2","3","1","1","2","3","1","0","0","0",0,0
"25926",32,19,"3","1","3","0","0","2","3","2","0","0","0",1,0
"43602",35,30,"3","1","3","0","1","2","1","0","0","0","0",0,0
"18481",38,31,"3","1","2","0","1","2","2","0","1","0","0",0,0
"27850",26,28,"3","1","2","0","0","2","0","2","0","0","0",0,0
"19554",40,7,"3","1","2","0","0","2","2","0","1","0","0",0,0
"37102",38,13,"1","2","1","1","0","2","1","2","0","0","0",0,0
"40111",50,4,"2","1","2","0","0","1","2","0","1","0","0",0,0
"26946",31,21,"3","1","2","1","0","2","3","1","1","1","2",0,0
"16128",36,22,"3","1","2","0","1","2","2","1","1","0","0",0,0
"19789",51,8,"1","2","1","0","0","2","2","0","1","0","0",0,0
"24982",40,18,"1","0","2","0","0","0","3","0","0","0","0",0,0
"4194",42,19,"3","2","2","1","0","0","1","0","1","0","0",0,0
"20163",30,11,"3","1","2","0","0","2","2","1","1","0","0",0,0
"40942",32,12,"3","1","3","1","0","2","2","0","0","1","1",0,0
"7936",32,30,"3","2","2","1","1","0","1","0","2","0","0",0,0
"18575",41,31,"2","2","3","1","1","2","2","0","0","0","0",0,0
"11990",51,20,"3","2","3","0","0","0","2","0","2","0","0",0,0
"11953",53,20,"1","2","1","1","0","0","2","0","2","0","0",0,0
"17720",33,29,"1","2","2","1","0","2","2","0","2","0","0",0,0
"34868",43,6,"0","2","1","1","0","2","1","0","0","0","0",0,0
"38768",28,18,"3","2","2","1","0","2","1","0","2","0","0",0,0
"44053",39,1,"1","2","1","1","0","0","2","0","0","2","1",0,0
"33867",35,30,"3","2","2","1","0","2","1","2","0","0","0",0,0
"2684",37,13,"3","2","2","1","0","0","1","1","2","0","0",0,0
"32104",39,15,"1","2","2","1","0","2","1","2","2","0","0",0,0
"15619",46,21,"3","2","2","0","0","2","2","0","0","0","0",0,0
"6897",50,28,"3","1","2","1","0","0","1","0","0","0","0",0,0
"17353",41,28,"3","2","2","1","0","2","2","0","2","0","0",0,0
"17451",29,28,"2","2","2","1","0","2","2","0","2","0","0",0,0
"30399",36,5,"2","2","3","1","0","2","0","1","1","1","1",0,0
"36796",56,12,"1","2","1","1","0","2","1","0","0","2","1",0,0
"44810",49,16,"3","2","3","0","0","2","3","1","0","1","1",1,0
"11862",44,20,"3","2","2","0","0","0","2","0","2","0","0",0,0
"8344",28,2,"1","1","2","1","0","0","2","1","1","0","0",0,0
"21132",34,14,"1","2","3","0","0","2","2","2","2","0","0",0,0
"32794",36,17,"2","2","2","1","0","2","1","2","1","2","1",0,0
"5952",38,26,"0","2","3","0","0","0","1","2","2","0","0",0,0
"31832",21,8,"0","1","1","0","0","2","1","0","2","0","0",1,0
"13195",41,8,"3","1","2","0","0","2","2","2","0","0","0",0,0
"27418",57,21,"0","2","1","0","0","1","3","0","0","0","0",0,0
"9790",39,9,"1","2","3","0","0","0","2","1","0","0","0",0,0
"40026",40,3,"3","2","2","1","0","2","2","2","1","1","2",1,0
"8712",57,4,"3","0","2","1","1","0","2","0","2","0","0",0,0
"39941",38,2,"3","1","2","0","0","2","2","0","2","0","0",0,0
"13014",36,7,"1","2","2","1","0","2","2","1","2","0","0",0,0
"16243",51,23,"3","2","2","1","1","1","2","0","0","0","0",0,0
"32965",27,17,"0","2","2","1","1","2","1","1","1","0","0",0,0
"37278",35,13,"3","1","2","1","0","2","1","0","0","0","0",0,0
"11204",37,18,"2","2","2","0","0","0","2","0","0","0","0",0,0
"28203",37,29,"3","1","2","1","0","2","0","2","0","0","0",0,0
"36785",51,12,"1","2","1","1","0","2","1","0","0","2","1",0,0
"39184",37,18,"1","2","2","1","0","2","1","2","2","0","0",0,0
"18730",57,31,"3","0","3","1","0","2","2","0","2","0","0",0,0
"8637",58,3,"3","2","0","1","0","0","2","2","1","0","0",0,0
"42525",31,18,"0","1","0","0","0","2","0","0","1","0","0",0,0
"7738",37,30,"3","1","2","1","0","0","1","0","1","0","0",0,0
"13722",35,10,"1","2","2","0","0","2","2","2","0","0","0",1,0
"33741",64,22,"3","2","3","0","0","1","1","0","0","0","0",0,0
"44520",51,11,"2","2","3","0","0","2","2","1","0","1","2",1,0
"17083",32,25,"3","1","2","0","1","2","2","0","1","0","0",0,0
"15149",41,17,"2","2","3","1","0","2","2","1","2","0","0",0,0
"21113",33,14,"3","1","3","0","0","1","2","1","2","0","0",0,0
"24942",34,18,"3","1","2","0","1","2","3","0","0","1","1",0,0
"14193",45,11,"3","2","2","0","0","2","2","0","1","0","0",0,0
"7252",41,29,"1","1","0","1","0","0","1","0","0","0","0",0,0
"14383",29,14,"3","2","0","1","0","2","2","0","1","0","0",0,0
"42761",44,28,"3","2","2","1","0","2","0","0","1","0","0",0,0
"34341",57,4,"0","2","3","0","0","1","1","0","2","0","0",0,0
"12949",50,7,"3","2","2","0","0","1","2","2","2","0","0",0,0
"16132",26,22,"3","1","2","0","1","2","2","1","2","0","0",0,0
"34876",47,6,"2","2","0","1","0","2","1","0","1","2","1",0,0
"23664",30,28,"3","0","2","1","0","2","2","0","2","0","0",0,0
"13863",35,10,"1","2","1","1","0","2","2","2","0","0","0",0,0
"40570",73,14,"2","2","3","0","0","2","2","0","1","0","0",1,0
"37699",38,14,"3","1","2","1","0","2","1","2","0","2","1",0,0
"4697",32,20,"2","1","3","1","0","0","1","1","1","0","0",0,0
"905",33,7,"2","2","3","1","0","0","1","2","0","0","0",0,0
"35745",38,8,"3","0","2","1","1","2","1","0","0","2","1",0,0
"40639",30,5,"2","1","3","0","0","2","2","1","1","0","0",0,0
"11488",49,19,"2","2","1","0","0","0","2","0","0","0","0",0,0
"42034",30,28,"3","1","2","1","0","2","3","2","1","2","1",1,0
"645",43,6,"0","2","2","1","0","0","1","0","1","0","0",0,0
"32604",34,17,"1","2","1","1","0","2","1","2","0","2","1",1,0
"30173",59,5,"1","0","2","0","1","2","0","0","2","0","0",0,0
"34856",40,6,"1","2","2","1","0","2","1","2","0","0","0",0,0
"30818",40,9,"2","0","2","0","0","2","0","0","2","0","0",0,0
"11833",20,20,"0","1","2","1","0","0","2","0","2","0","0",0,0
"38247",31,15,"3","1","3","1","0","2","1","1","2","2","1",0,0
"37128",45,13,"3","0","3","1","1","2","1","0","1","0","0",0,0
"16095",26,22,"3","1","2","1","1","2","2","2","0","0","0",0,0
"25386",39,18,"2","1","3","0","0","1","3","0","0","0","0",0,0
"39041",36,18,"3","0","2","1","0","2","1","0","2","0","0",0,0
"28558",26,29,"3","1","2","0","0","1","0","2","1","0","0",0,0
"30610",55,6,"3","2","2","0","0","2","0","0","2","1","1",0,0
"8557",28,3,"3","1","2","1","0","0","2","1","0","0","0",0,0
"16799",53,24,"2","2","3","0","1","2","2","1","1","0","0",0,0
"40161",23,5,"0","1","2","0","0","2","2","2","1","0","0",0,0
"35360",39,7,"3","1","3","1","0","2","1","0","0","0","0",0,0
"43743",64,18,"0","2","2","0","0","2","1","2","0","1","2",1,0
"5063",36,21,"3","0","2","1","0","0","1","0","1","0","0",0,0
"1721",36,9,"3","2","2","1","0","0","1","0","1","0","0",0,0
"42443",52,7,"2","2","1","0","0","1","0","0","1","2","1",0,0
"39144",27,18,"2","1","3","1","0","2","1","1","1","0","0",0,0
"41459",33,7,"3","2","2","0","0","2","3","2","0","1","1",0,0
"5462",45,23,"1","2","1","0","0","0","1","2","2","0","0",0,0
"7303",51,29,"3","2","0","1","0","0","1","0","1","0","0",0,0
"38157",29,15,"1","2","2","1","1","2","1","2","0","0","0",1,0
"26877",47,20,"2","2","3","1","0","2","3","2","2","0","0",0,0
"30091",36,4,"2","2","2","0","0","2","0","2","2","0","0",0,0
"15527",35,18,"2","1","3","1","0","2","2","2","1","0","0",1,0
"33120",34,20,"3","2","2","1","1","2","1","2","1","2","1",0,0
"4005",35,16,"3","1","2","1","0","0","1","2","1","0","0",0,0
"45183",34,15,"3","2","2","0","0","2","3","2","1","1","2",1,0
"15871",34,21,"2","2","2","1","0","2","2","1","1","0","0",0,0
"20474",31,12,"3","1","2","0","0","2","2","1","1","0","0",0,0
"2255",55,12,"1","2","1","1","1","0","1","2","2","0","0",0,0
"8528",28,3,"1","2","2","1","0","0","2","2","0","0","0",0,0
"22565",45,22,"3","2","3","0","0","2","2","0","1","0","0",0,0
"23851",37,29,"2","2","3","0","0","2","2","0","1","0","0",0,0
"7644",36,30,"2","1","3","1","0","0","1","0","0","0","0",0,0
"26422",31,20,"2","1","2","0","0","2","3","2","0","0","0",0,0
"25473",46,19,"1","0","2","0","0","2","3","1","0","0","0",0,0
"41991",38,27,"1","1","2","0","0","2","3","1","0","1","1",1,0
"11210",37,18,"3","2","0","0","0","0","2","2","1","0","0",0,0
"19361",59,6,"0","2","2","0","0","2","2","2","1","0","0",0,0
"38653",45,15,"3","2","2","1","1","2","1","1","1","2","1",0,0
"15202",30,17,"1","2","1","1","0","1","2","1","2","0","0",0,0
"27078",38,21,"3","0","2","0","0","2","3","1","0","0","0",0,0
"12044",29,20,"2","1","3","1","1","0","2","0","2","0","0",0,0
"17516",35,29,"2","0","3","1","0","1","2","2","2","0","0",0,0
"18164",46,30,"0","0","2","0","0","2","2","2","1","0","0",0,0
"2612",44,13,"3","2","1","1","0","0","1","1","0","0","0",0,0
"2081",40,12,"3","1","2","1","0","0","1","2","1","0","0",0,0
"14962",35,16,"2","2","3","0","1","2","2","2","2","0","0",1,0
"4966",32,21,"1","1","2","0","0","0","1","2","1","0","0",0,0
"12781",57,7,"0","2","1","0","0","1","2","1","0","0","0",0,0
"37762",46,14,"1","1","2","1","0","2","1","0","0","2","1",0,0
"25438",43,18,"2","2","2","1","0","1","3","0","0","1","1",0,0
"43265",51,10,"3","0","3","1","0","2","1","0","0","2","1",0,0
"23995",49,29,"2","2","2","0","0","2","2","0","2","0","0",0,0
"11802",56,20,"2","2","2","0","0","0","2","1","1","0","0",0,0
"25632",32,19,"3","1","3","0","0","2","3","0","1","0","0",0,0
"40490",31,7,"2","2","3","0","0","2","2","1","0","0","0",1,0
"35413",45,7,"3","1","2","1","0","2","1","0","0","2","1",0,0
"20965",34,14,"3","0","2","0","0","2","2","0","2","0","0",0,0
"24171",30,13,"2","1","3","1","0","1","3","0","0","1","1",0,0
"44234",44,19,"2","1","3","0","0","2","2","1","2","2","1",1,0
"38573",44,15,"1","0","1","1","1","2","1","1","1","2","1",0,0
"44438",38,5,"3","2","2","0","0","2","2","1","0","1","2",1,0
"7451",45,29,"1","2","2","1","0","0","1","1","1","0","0",0,0
"2225",41,12,"1","2","0","0","0","0","1","2","1","0","0",0,0
"34788",32,6,"1","1","2","1","1","2","1","0","0","2","1",0,0
"30755",42,6,"3","2","2","0","0","2","0","1","1","0","0",0,0
"35688",31,8,"3","1","2","1","0","2","1","0","0","0","0",0,0
"42043",26,29,"3","1","2","0","0","2","3","1","0","1","1",1,0
"40977",66,13,"0","2","2","0","0","2","2","0","1","0","0",0,0
"38041",33,14,"3","2","2","1","0","2","1","1","2","0","0",0,0
"33436",43,20,"1","2","1","1","0","2","1","2","0","0","0",0,0
"30413",33,5,"3","1","2","1","0","2","0","2","1","0","0",0,0
"15317",45,18,"2","2","3","1","1","2","2","1","0","0","0",0,0
"22460",36,22,"2","0","3","1","0","2","2","0","1","0","0",0,0
"29939",51,4,"0","1","3","0","0","1","0","1","0","0","0",0,0
"34576",33,5,"2","1","3","1","0","2","1","2","1","0","0",1,0
"25123",30,18,"2","2","3","0","0","2","3","0","0","1","1",0,0
"1752",31,9,"0","2","1","1","0","0","1","2","1","0","0",0,0
"9528",28,6,"1","1","2","1","0","0","2","0","2","0","0",0,0
