"","age","day","grp.job","marital","education","housing","loan","contact","grp.month","grp.duration","grp.campaign","grp.pdays","grp.previous","y.subscribe"
"45",58,5,"0","2","0","1","0","0","1","2","0","0","0",0
"46",36,5,"3","1","1","1","0","0","1","1","0","0","0",0
"47",58,5,"2","2","3","1","0","0","1","2","0","0","0",0
"48",44,5,"3","2","2","1","0","0","1","1","1","0","0",0
"49",55,5,"3","0","2","0","0","0","1","0","0","0","0",0
"50",29,5,"2","1","3","1","0","0","1","2","0","0","0",0
"51",54,5,"1","2","2","1","0","0","1","1","0","0","0",0
"52",48,5,"2","0","3","1","0","0","1","1","0","0","0",0
"53",32,5,"2","2","3","1","0","0","1","0","0","0","0",0
"54",42,5,"3","1","2","1","0","0","1","2","0","0","0",0
"55",24,5,"3","1","2","1","1","0","1","0","0","0","0",0
"56",38,5,"2","1","3","0","1","0","1","0","0","0","0",0
"57",38,5,"2","1","3","1","0","0","1","0","0","0","0",0
"58",47,5,"1","2","0","1","0","0","1","0","0","0","0",0
"59",40,5,"1","1","0","1","0","0","1","1","0","0","0",0
"60",46,5,"3","2","1","1","0","0","1","2","0","0","0",0
"61",32,5,"3","2","3","1","0","0","1","0","0","0","0",0
"62",53,5,"3","0","2","1","0","0","1","2","0","0","0",0
"63",57,5,"1","2","1","1","0","0","1","0","0","0","0",0
"64",33,5,"3","2","2","1","0","0","1","2","0","0","0",0
"65",49,5,"1","2","0","1","0","0","1","2","0","0","0",0
"66",51,5,"2","2","3","1","0","0","1","0","0","0","0",0
"67",60,5,"0","2","3","0","0","0","1","2","0","0","0",0
"68",59,5,"2","0","3","1","0","0","1","1","0","0","0",0
"69",55,5,"3","2","2","1","0","0","1","0","1","0","0",0
"70",35,5,"1","1","2","1","1","0","1","0","0","0","0",0
"71",57,5,"1","2","2","1","1","0","1","1","0","0","0",0
"72",31,5,"3","2","2","1","1","0","1","0","0","0","0",0
"73",54,5,"2","2","2","1","1","0","1","0","0","0","0",0
"74",55,5,"1","2","1","1","0","0","1","1","0","0","0",0
"75",43,5,"3","2","2","1","0","0","1","1","0","0","0",0
"76",53,5,"3","2","2","1","0","0","1","0","0","0","0",0
"77",44,5,"1","2","2","0","1","0","1","1","0","0","0",0
"78",55,5,"3","0","2","0","0","0","1","2","0","0","0",0
"79",49,5,"3","0","2","1","1","0","1","1","0","0","0",0
"80",55,5,"3","0","2","1","0","0","1","1","0","0","0",0
"81",45,5,"3","1","2","1","0","0","1","1","0","0","0",0
"82",47,5,"3","0","2","0","0","0","1","1","0","0","0",0
"83",42,5,"3","1","2","1","0","0","1","0","0","0","0",0
"84",59,5,"3","2","2","1","0","0","1","2","0","0","0",1
"85",46,5,"2","2","3","1","1","0","1","1","0","0","0",0
"86",51,5,"1","2","1","1","0","0","1","2","1","0","0",0
"87",56,5,"3","2","2","0","0","0","1","2","0","0","0",1
"88",41,5,"3","2","2","1","0","0","1","2","0","0","0",1
"89",46,5,"2","0","2","1","1","0","1","1","1","0","0",0
"90",57,5,"0","2","2","1","0","0","1","0","1","0","0",0
"91",42,5,"2","1","2","0","0","0","1","0","0","0","0",0
"92",30,5,"3","2","2","1","1","0","1","1","1","0","0",0
"93",60,5,"3","2","2","1","0","0","1","2","0","0","0",0
"94",60,5,"1","2","0","1","0","0","1","1","0","0","0",0
"95",57,5,"2","0","2","0","0","0","1","0","0","0","0",0
"96",36,5,"2","2","3","1","1","0","1","2","0","0","0",0
"97",55,5,"1","2","2","0","0","0","1","1","0","0","0",0
"98",60,5,"0","2","3","1","0","0","1","0","0","0","0",0
"99",39,5,"3","2","2","1","0","0","1","1","0","0","0",0
"100",46,5,"2","2","3","1","0","0","1","1","0","0","0",0
"101",44,5,"1","2","2","1","0","0","1","1","0","0","0",0
"102",53,5,"1","2","1","0","0","0","1","0","0","0","0",0
"103",52,5,"1","2","1","1","0","0","1","1","0","0","0",0
"104",59,5,"1","2","1","1","0","0","1","0","1","0","0",0
"105",27,5,"3","1","3","1","0","0","1","2","0","0","0",0
"106",44,5,"1","2","2","1","0","0","1","1","0","0","0",0
"107",47,5,"3","2","3","1","0","0","1","1","0","0","0",0
"108",34,5,"3","2","2","0","1","0","1","0","0","0","0",0
"109",59,5,"0","1","2","1","0","0","1","2","0","0","0",0
"110",45,5,"2","2","3","1","0","0","1","2","1","0","0",0
"111",29,5,"3","0","2","1","0","0","1","1","0","0","0",0
"112",46,5,"3","0","2","0","0","0","1","0","0","0","0",0
"113",56,5,"2","2","1","1","1","0","1","1","1","0","0",0
"114",36,5,"1","2","1","1","0","0","1","1","0","0","0",0
"115",59,5,"0","0","1","1","0","0","1","0","0","0","0",0
"116",44,5,"1","2","2","1","0","0","1","1","1","0","0",0
"117",41,5,"3","2","2","1","0","0","1","2","0","0","0",0
"118",33,5,"2","1","3","1","0","0","1","2","0","0","0",0
"119",59,5,"2","0","3","0","0","0","1","0","0","0","0",0
"120",57,5,"3","2","1","0","0","0","1","0","0","0","0",0
"121",56,5,"3","0","0","1","0","0","1","2","0","0","0",0
"122",51,5,"1","2","2","1","0","0","1","0","0","0","0",0
"123",34,5,"3","2","0","1","0","0","1","0","1","0","0",0
"124",43,5,"3","2","2","1","1","0","1","0","1","0","0",0
"125",52,5,"3","2","3","0","1","0","1","0","0","0","0",0
"126",33,5,"3","1","2","1","0","0","1","1","1","0","0",0
"127",29,5,"3","1","2","1","1","0","1","0","0","0","0",0
"128",34,5,"3","2","2","1","1","0","1","0","0","0","0",0
"129",31,5,"1","2","2","1","0","0","1","0","0","0","0",0
"130",55,5,"3","2","2","1","0","0","1","2","0","0","0",1
"131",55,5,"2","2","0","0","0","0","1","2","0","0","0",0
"132",32,5,"3","1","2","1","0","0","1","2","0","0","0",0
"133",38,5,"3","1","2","1","0","0","1","1","0","0","0",0
"134",55,5,"3","1","2","1","1","0","1","0","1","0","0",0
"135",28,5,"0","1","3","1","0","0","1","0","1","0","0",0
"136",23,5,"1","2","2","1","0","0","1","1","0","0","0",0
"137",32,5,"3","1","2","1","0","0","1","0","0","0","0",0
"138",43,5,"3","1","0","0","0","0","1","0","0","0","0",0
"139",32,5,"1","2","2","1","0","0","1","2","0","0","0",0
"140",46,5,"1","2","2","1","0","0","1","2","0","0","0",0
"141",53,5,"1","0","1","1","0","0","1","0","0","0","0",0
"142",34,5,"2","1","2","1","0","0","1","1","0","0","0",0
"143",57,5,"0","2","3","0","0","0","1","0","0","0","0",0
"144",37,5,"1","2","2","1","0","0","1","1","0","0","0",0
"145",59,5,"1","2","2","1","0","0","1","0","0","0","0",0
"146",33,5,"3","2","2","1","0","0","1","0","0","0","0",0
"147",56,5,"1","0","1","1","0","0","1","0","1","0","0",0
"148",48,5,"0","2","2","1","0","0","1","1","0","0","0",0
"149",43,5,"3","2","1","1","0","0","1","1","1","0","0",0
"150",54,5,"1","2","1","1","0","0","1","2","1","0","0",0
"151",51,5,"1","2","0","1","0","0","1","0","1","0","0",0
"152",26,5,"0","1","2","1","0","0","1","2","1","0","0",0
"153",40,5,"2","2","3","1","0","0","1","2","0","0","0",0
"154",39,5,"2","2","2","1","0","0","1","0","0","0","0",0
"155",50,5,"3","2","1","0","0","0","1","0","1","0","0",0
"156",41,5,"3","2","2","1","0","0","1","0","1","0","0",0
"157",51,5,"1","2","0","1","0","0","1","0","0","0","0",0
"158",60,5,"0","0","2","1","0","0","1","1","0","0","0",0
"159",52,5,"1","2","2","1","0","0","1","0","1","0","0",0
"160",48,5,"1","2","2","1","0","0","1","0","1","0","0",0
"161",48,5,"3","2","0","1","0","0","1","0","0","0","0",0
"162",39,5,"3","1","3","1","0","0","1","1","0","0","0",0
"163",47,5,"3","1","2","1","0","0","1","1","1","0","0",0
"164",40,5,"1","2","2","1","0","0","1","2","2","0","0",0
"165",45,5,"3","2","2","1","0","0","1","1","0","0","0",0
"166",26,5,"3","1","2","1","0","0","1","1","0","0","0",0
"167",52,5,"2","2","3","1","0","0","1","0","0","0","0",0
"168",54,5,"3","2","2","1","0","0","1","1","0","0","0",0
"169",54,5,"3","2","3","0","0","0","1","2","1","0","0",1
"170",50,5,"1","2","1","0","0","0","1","1","1","0","0",0
"171",35,5,"1","2","2","1","0","0","1","2","0","0","0",0
"172",44,5,"3","2","2","1","1","0","1","1","0","0","0",0
"173",53,5,"2","2","0","1","0","0","1","1","0","0","0",0
"174",35,5,"0","1","1","0","0","0","1","0","0","0","0",0
"175",60,5,"3","0","2","1","0","0","1","0","0","0","0",0
"176",53,5,"3","0","2","1","0","0","1","2","0","0","0",0
"177",48,5,"0","2","2","1","0","0","1","0","1","0","0",0
"178",34,5,"3","2","2","1","0","0","1","0","1","0","0",0
"179",54,5,"3","2","2","1","0","0","1","2","1","0","0",0
"180",51,5,"2","2","2","1","0","0","1","2","0","0","0",0
"181",31,5,"3","2","3","1","0","0","1","1","0","0","0",0
"182",35,5,"3","0","2","1","0","0","1","2","1","0","0",0
"183",35,5,"3","2","2","1","0","0","1","2","0","0","0",0
"184",38,5,"3","2","2","1","0","0","1","2","0","0","0",0
"185",36,5,"3","2","3","1","0","0","1","0","1","0","0",0
"186",58,5,"0","2","1","1","0","0","1","0","0","0","0",0
"187",40,5,"3","0","0","1","0","0","1","1","0","0","0",0
"188",54,5,"2","2","2","0","0","0","1","0","0","0","0",0
"189",34,5,"1","1","2","1","1","0","1","2","0","0","0",0
"190",31,5,"2","1","3","1","0","0","1","2","0","0","0",0
"191",51,5,"0","2","2","1","0","0","1","0","0","0","0",0
"192",33,5,"2","2","3","1","0","0","1","1","0","0","0",0
"193",55,5,"2","2","3","1","0","0","1","0","1","0","0",0
"194",42,5,"3","2","2","1","0","0","1","0","0","0","0",0
"195",34,5,"1","2","2","1","0","0","1","1","0","0","0",0
"196",33,5,"1","1","2","1","0","0","1","1","1","0","0",0
"197",38,5,"3","2","2","1","0","0","1","1","0","0","0",0
"198",50,5,"3","0","3","0","1","0","1","0","0","0","0",0
"199",43,5,"2","2","3","1","0","0","1","1","0","0","0",0
"200",61,5,"1","0","1","1","0","0","1","0","1","0","0",0
"201",47,5,"3","2","2","1","0","0","1","2","0","0","0",0
"202",48,5,"2","2","3","1","0","0","1","1","0","0","0",0
"203",44,5,"1","2","2","1","0","0","1","2","0","0","0",0
"204",35,5,"0","1","0","1","0","0","1","2","1","0","0",0
"205",35,5,"3","2","2","1","0","0","1","2","0","0","0",0
"206",50,5,"3","2","2","1","0","0","1","2","1","0","0",0
"207",41,5,"2","2","3","1","1","0","1","0","0","0","0",0
"208",41,5,"2","2","3","1","0","0","1","1","0","0","0",0
"209",39,5,"3","1","0","1","0","0","1","2","0","0","0",0
"210",42,5,"0","2","2","1","0","0","1","1","0","0","0",0
"211",38,5,"1","2","2","1","0","0","1","1","0","0","0",0
"212",53,5,"0","2","2","1","0","0","1","1","1","0","0",0
"213",59,5,"1","0","1","0","0","0","1","2","1","0","0",0
"214",36,5,"3","2","2","1","0","0","1","1","0","0","0",0
"215",54,5,"1","2","1","1","0","0","1","1","0","0","0",0
"216",40,5,"3","2","3","1","0","0","1","0","0","0","0",0
"217",47,5,"0","2","0","0","0","0","1","2","1","0","0",0
"218",53,5,"0","2","0","0","0","0","1","2","1","0","0",0
"219",46,5,"1","2","1","0","0","0","1","0","0","0","0",0
"220",39,5,"2","2","3","1","1","0","1","0","1","0","0",0
"221",40,5,"0","2","2","1","0","0","1","2","0","0","0",0
"222",28,5,"1","2","1","1","0","0","1","0","0","0","0",0
"223",35,5,"2","0","2","1","0","0","1","1","0","0","0",0
"224",55,5,"0","2","2","0","1","0","1","0","0","0","0",0
"225",43,5,"3","0","0","1","0","0","1","2","0","0","0",0
"226",48,5,"1","2","1","1","0","0","1","0","1","0","0",0
"227",58,5,"2","2","0","1","0","0","1","1","1","0","0",0
"228",33,5,"2","1","3","1","0","0","1","0","0","0","0",0
"229",36,5,"1","2","0","0","0","0","1","1","1","0","0",0
"230",53,5,"3","0","2","1","0","0","1","0","0","0","0",0
"231",47,5,"1","2","1","1","0","0","1","0","0","0","0",0
"232",31,5,"3","2","2","1","0","0","1","2","1","0","0",0
"233",57,5,"2","2","2","1","0","0","1","2","1","0","0",0
"234",53,5,"1","2","0","0","0","0","1","0","0","0","0",0
"235",55,5,"1","2","1","1","0","0","1","1","0","0","0",0
"236",45,5,"1","2","1","1","0","0","1","0","0","0","0",0
"237",53,5,"3","0","2","1","0","0","1","1","1","0","0",0
"238",37,5,"1","2","1","1","0","0","1","0","0","0","0",0
"239",44,5,"3","0","2","1","0","0","1","1","0","0","0",0
"240",49,5,"1","0","1","1","1","0","1","2","0","0","0",0
"241",46,5,"3","2","2","1","1","0","1","0","0","0","0",0
"242",43,5,"2","2","0","1","0","0","1","2","0","0","0",0
"243",38,5,"3","2","2","0","0","0","1","0","0","0","0",0
"244",43,5,"3","2","2","1","0","0","1","0","0","0","0",0
"245",49,5,"2","2","3","1","0","0","1","1","1","0","0",0
"246",42,5,"2","2","0","0","0","0","1","2","1","0","0",0
"247",22,5,"1","1","2","1","0","0","1","0","1","0","0",0
"248",40,5,"2","2","3","1","0","0","1","0","0","0","0",0
"249",39,5,"1","2","2","1","0","0","1","1","0","0","0",0
"250",51,5,"3","2","2","1","0","0","1","2","1","0","0",0
"251",49,5,"3","2","2","1","0","0","1","0","0","0","0",0
"252",53,5,"1","2","2","1","1","0","1","1","0","0","0",0
"253",34,5,"3","1","2","1","0","0","1","0","0","0","0",0
"254",33,5,"3","0","2","1","0","0","1","1","0","0","0",0
"255",50,5,"2","1","3","1","0","0","1","0","0","0","0",0
"256",39,5,"1","2","1","1","0","0","1","2","0","0","0",0
"257",59,5,"2","0","2","1","0","0","1","0","1","0","0",0
"258",30,5,"3","1","2","1","0","0","1","0","1","0","0",0
"259",36,5,"3","2","2","1","1","0","1","2","0","0","0",0
"260",40,5,"1","2","2","1","0","0","1","2","1","0","0",0
"261",53,5,"1","2","2","1","0","0","1","2","1","0","0",0
"262",34,5,"2","1","3","1","0","0","1","0","1","0","0",0
"263",37,5,"3","2","2","1","0","0","1","0","0","0","0",0
"264",42,5,"2","0","3","1","0","0","1","0","1","0","0",0
"265",41,5,"2","2","1","1","0","0","1","0","0","0","0",0
"266",30,5,"0","1","3","1","0","0","1","0","1","0","0",0
"267",37,5,"2","1","3","1","0","0","1","0","0","0","0",0
"268",39,5,"3","0","2","1","0","0","1","2","1","0","0",0
"269",41,5,"1","2","1","1","1","0","1","0","1","0","0",0
"270",40,5,"1","2","1","1","0","0","1","2","0","0","0",0
"271",42,5,"2","1","3","1","1","0","1","2","1","0","0",1
"272",40,5,"1","0","1","1","0","0","1","2","0","0","0",0
"273",57,5,"3","2","2","1","0","0","1","0","2","0","0",0
"274",56,5,"2","0","2","0","0","0","1","0","1","0","0",0
"275",37,5,"3","2","2","1","0","0","1","0","1","0","0",0
"276",59,5,"0","2","2","1","0","0","1","0","1","0","0",0
"277",39,5,"3","0","2","1","0","0","1","1","1","0","0",0
"278",49,5,"3","2","2","0","0","0","1","1","1","0","0",0
"279",38,5,"3","1","2","1","0","0","1","0","1","0","0",0
"280",36,5,"2","2","3","0","0","0","1","1","1","0","0",0
"281",50,5,"1","2","1","1","0","0","1","2","1","0","0",0
"282",41,5,"3","2","2","1","1","0","1","0","1","0","0",0
"283",54,5,"3","2","3","0","0","0","1","1","2","0","0",0
"284",58,5,"1","2","1","1","0","0","1","0","1","0","0",0
"285",30,5,"1","1","2","1","0","0","1","0","1","0","0",0
"286",33,5,"3","1","2","1","0","0","1","1","1","0","0",0
"287",47,5,"3","2","2","1","0","0","1","0","1","0","0",0
"288",50,5,"3","1","3","1","0","0","1","0","1","0","0",0
"289",32,5,"1","2","2","1","0","0","1","1","1","0","0",0
"290",40,5,"2","2","2","1","0","0","1","0","1","0","0",0
"291",37,5,"2","2","3","1","0","0","1","0","1","0","0",0
"292",54,5,"3","1","0","1","0","0","1","2","1","0","0",0
"293",24,5,"0","1","2","1","0","0","1","1","1","0","0",0
"294",54,5,"2","2","3","0","0","0","1","0","1","0","0",0
"295",34,5,"3","2","2","1","0","0","1","2","2","0","0",0
"296",56,5,"3","0","1","1","0","0","1","2","1","0","0",0
"297",31,5,"1","1","2","1","0","0","1","1","1","0","0",0
"298",24,5,"0","1","2","1","0","0","1","1","1","0","0",0
"299",42,5,"1","0","1","1","0","0","1","0","1","0","0",0
"300",57,5,"3","2","2","1","0","0","1","0","1","0","0",0
"301",42,5,"1","2","0","1","0","0","1","0","1","0","0",0
"302",51,5,"3","2","2","1","0","0","1","1","1","0","0",0
"303",57,5,"0","2","2","1","0","0","1","1","1","0","0",0
"304",36,5,"3","1","2","1","0","0","1","1","1","0","0",0
"305",53,5,"3","2","0","1","0","0","1","1","1","0","0",0
"306",50,5,"3","2","2","1","0","0","1","1","1","0","0",0
"307",54,5,"2","2","3","1","0","0","1","0","1","0","0",0
"308",55,5,"1","2","2","1","0","0","1","0","1","0","0",0
"309",44,5,"1","2","2","1","1","0","1","1","1","0","0",0
"310",43,5,"2","2","0","1","0","0","1","0","1","0","0",0
"311",56,5,"3","2","2","1","0","0","1","0","1","0","0",0
"312",54,5,"3","2","0","1","0","0","1","0","1","0","0",0
"313",55,5,"3","0","1","1","1","0","1","1","1","0","0",0
"314",37,5,"3","0","2","1","1","0","1","1","1","0","0",0
"315",33,5,"3","1","3","0","0","0","1","0","1","0","0",0
"316",46,5,"3","2","2","1","0","0","1","2","1","0","0",0
"317",36,5,"1","2","2","1","1","0","1","2","1","0","0",0
"318",51,5,"3","1","2","1","0","0","1","2","1","0","0",0
"319",40,5,"0","1","1","0","0","0","1","0","1","0","0",0
"320",42,5,"1","2","2","1","0","0","1","2","1","0","0",0
"321",51,5,"1","2","2","1","0","0","1","0","1","0","0",0
"322",49,5,"1","2","0","1","0","0","1","1","1","0","0",0
"323",48,5,"2","2","2","1","0","0","1","1","1","0","0",0
"324",32,5,"3","0","3","0","0","0","1","0","1","0","0",0
"325",31,5,"3","1","2","1","0","0","1","1","1","0","0",0
"326",55,5,"2","1","3","0","0","0","1","0","2","0","0",0
"327",40,5,"1","1","2","1","0","0","1","1","1","0","0",0
"328",47,5,"3","2","3","1","0","0","1","1","1","0","0",0
"329",57,5,"3","2","0","1","0","0","1","1","1","0","0",0
"330",41,5,"1","2","2","1","0","0","1","1","1","0","0",0
"331",48,5,"1","2","2","0","0","0","1","2","1","0","0",0
"332",42,5,"1","2","0","1","0","0","1","2","1","0","0",0
"333",30,5,"1","1","2","1","0","0","1","0","1","0","0",0
"334",58,5,"2","1","3","1","0","0","1","0","2","0","0",0
"335",45,5,"2","0","3","1","0","0","1","1","1","0","0",0
"336",49,5,"1","2","2","1","0","0","1","0","2","0","0",0
"337",42,5,"3","1","2","1","0","0","1","0","1","0","0",0
"338",53,5,"3","2","2","1","1","0","1","0","1","0","0",0
"339",51,5,"3","1","2","0","0","0","1","2","1","0","0",0
"340",32,5,"3","1","2","1","0","0","1","1","1","0","0",0
"341",41,5,"1","1","2","1","0","0","1","0","1","0","0",0
"342",43,5,"2","0","2","1","0","0","1","0","1","0","0",0
"343",40,5,"1","0","2","1","0","0","1","1","1","0","0",0
"344",50,5,"1","2","1","1","0","0","1","2","1","0","0",0
"345",34,5,"2","2","3","1","0","0","1","0","2","0","0",0
"346",53,5,"3","2","0","0","0","0","1","2","1","0","0",0
"347",45,5,"3","2","2","1","0","0","1","0","2","0","0",0
"348",39,5,"1","2","1","1","0","0","1","2","1","0","0",0
"349",44,5,"3","2","3","1","0","0","1","2","2","0","0",0
"350",55,5,"2","2","3","1","0","0","1","0","1","0","0",0
"351",46,5,"2","1","3","1","0","0","1","0","1","0","0",0
"352",45,5,"1","2","2","1","0","0","1","2","1","0","0",0
"353",34,5,"3","2","2","1","0","0","1","1","1","0","0",0
"354",36,5,"1","2","2","1","0","0","1","1","1","0","0",0
"355",59,5,"0","0","0","0","0","0","1","2","1","0","0",0
"356",31,5,"3","1","2","1","0","0","1","1","1","0","0",0
"357",44,5,"1","1","2","1","0","0","1","2","2","0","0",0
"358",33,5,"2","1","3","1","0","0","1","2","1","0","0",0
"359",40,5,"1","2","2","1","0","0","1","1","2","0","0",0
"360",46,5,"3","1","3","1","0","0","1","0","1","0","0",0
"361",48,5,"2","2","3","1","0","0","1","2","1","0","0",0
"362",42,6,"3","2","2","1","0","0","1","0","1","0","0",0
"363",27,6,"3","2","2","1","0","0","1","0","1","0","0",0
"364",48,6,"3","2","2","1","1","0","1","2","1","0","0",0
"365",59,6,"3","2","2","1","0","0","1","1","1","0","0",0
"366",46,6,"3","2","3","1","0","0","1","0","0","0","0",0
"367",38,6,"3","0","2","1","0","0","1","0","0","0","0",0
"368",43,6,"2","0","3","1","0","0","1","1","0","0","0",0
"369",38,6,"3","0","3","1","0","0","1","1","0","0","0",0
"370",23,6,"0","1","2","1","0","0","1","0","0","0","0",0
"371",34,6,"3","2","2","1","0","0","1","2","0","0","0",0
"372",38,6,"3","2","2","1","1","0","1","1","0","0","0",0
"373",37,6,"1","2","2","0","0","0","1","2","0","0","0",0
"374",25,6,"3","1","2","1","0","0","1","1","0","0","0",0
"375",48,6,"1","2","0","1","0","0","1","1","0","0","0",0
"376",49,6,"1","1","2","1","0","0","1","0","0","0","0",0
"377",38,6,"3","1","2","0","0","0","1","1","1","0","0",0
"378",43,6,"1","2","1","1","0","0","1","1","0","0","0",0
"379",33,6,"2","2","3","1","0","0","1","1","0","0","0",0
"380",55,6,"1","2","2","1","0","0","1","1","0","0","0",0
"381",38,6,"1","2","2","1","0","0","1","0","0","0","0",0
"382",49,6,"3","2","2","1","1","0","1","1","0","0","0",0
"383",40,6,"2","2","2","0","0","0","1","1","1","0","0",0
"384",43,6,"3","2","0","0","0","0","1","2","0","0","0",0
"385",38,6,"1","2","2","1","0","0","1","2","0","0","0",0
"386",58,6,"3","2","2","1","1","0","1","0","0","0","0",0
"387",57,6,"3","2","0","1","0","0","1","0","0","0","0",0
"388",32,6,"0","2","2","1","0","0","1","2","2","0","0",0
"389",56,6,"2","2","3","1","1","0","1","2","0","0","0",1
"390",58,6,"1","0","0","1","0","0","1","1","0","0","0",0
"391",60,6,"0","0","2","1","0","0","1","2","0","0","0",1
"392",37,6,"3","2","3","1","0","0","1","0","0","0","0",0
"393",46,6,"3","0","3","1","0","0","1","0","0","0","0",0
"394",27,6,"3","2","2","1","0","0","1","1","0","0","0",0
"395",43,6,"1","2","2","1","0","0","1","2","1","0","0",0
"396",32,6,"3","1","2","1","1","0","1","0","1","0","0",0
"397",40,6,"3","1","2","1","0","0","1","1","0","0","0",0
"398",38,6,"3","2","2","0","0","0","1","0","0","0","0",0
"399",34,6,"1","2","2","0","1","0","1","1","0","0","0",0
"400",47,6,"1","2","1","1","0","0","1","0","0","0","0",0
"401",42,6,"1","2","1","1","0","0","1","0","0","0","0",0
"402",48,6,"3","2","2","1","1","0","1","2","0","0","0",0
"403",29,6,"2","1","3","1","0","0","1","0","0","0","0",0
"404",50,6,"3","2","2","1","0","0","1","0","0","0","0",0
"405",52,6,"3","2","0","0","0","0","1","1","1","0","0",0
"406",50,6,"2","2","3","0","0","0","1","2","0","0","0",0
"407",58,6,"0","2","3","0","0","0","1","2","0","0","0",0
"408",46,6,"1","0","1","1","0","0","1","1","1","0","0",0
"409",38,6,"3","2","2","1","0","0","1","2","0","0","0",0
"410",46,6,"1","2","2","1","0","0","1","1","0","0","0",0
"411",32,6,"3","1","2","1","0","0","1","1","0","0","0",0
"412",51,6,"1","2","1","1","0","0","1","2","0","0","0",0
"413",39,6,"3","1","2","1","0","0","1","2","0","0","0",0
"414",48,6,"3","2","2","1","0","0","1","0","1","0","0",0
"415",36,6,"2","2","3","1","0","0","1","0","1","0","0",0
"416",34,6,"3","0","2","1","0","0","1","0","0","0","0",0
"417",40,6,"3","2","2","0","0","0","1","2","0","0","0",0
"418",43,6,"0","2","2","1","0","0","1","1","0","0","0",0
"419",52,6,"1","0","1","1","1","0","1","1","0","0","0",0
"420",33,6,"3","2","2","1","0","0","1","2","0","0","0",0
"421",49,6,"2","1","3","1","0","0","1","2","1","0","0",0
"422",32,6,"2","1","3","1","0","0","1","0","0","0","0",0
"423",39,6,"3","1","2","1","0","0","1","2","0","0","0",0
"424",40,6,"1","2","2","1","0","0","1","1","0","0","0",0
"425",38,6,"3","1","3","1","0","0","1","1","1","0","0",0
"426",43,6,"2","2","2","1","0","0","1","1","1","0","0",0
"427",39,6,"3","2","2","1","0","0","1","1","0","0","0",0
"428",54,6,"1","2","1","1","0","0","1","0","0","0","0",0
"429",38,6,"3","1","3","1","0","0","1","0","0","0","0",0
"430",40,6,"1","2","2","1","0","0","1","1","0","0","0",0
"431",55,6,"3","2","2","1","0","0","1","2","0","0","0",0
"432",42,6,"2","2","3","1","0","0","1","2","0","0","0",0
"433",39,6,"1","2","2","1","0","0","1","1","0","0","0",0
