"","age","day","grp.job","marital","education","housing","loan","contact","grp.month","grp.duration","grp.campaign","grp.pdays","grp.previous","y.subscribe","test.subscribe"
"243",38,5,"3","2","2","0","0","0","1","0","0","0","0",0,0
"250",51,5,"3","2","2","1","0","0","1","2","1","0","0",0,0
"251",49,5,"3","2","2","1","0","0","1","0","0","0","0",0,0
"259",36,5,"3","2","2","1","1","0","1","2","0","0","0",0,0
"262",34,5,"2","1","3","1","0","0","1","0","1","0","0",0,0
"263",37,5,"3","2","2","1","0","0","1","0","0","0","0",0,0
"272",40,5,"1","0","1","1","0","0","1","2","0","0","0",0,0
"273",57,5,"3","2","2","1","0","0","1","0","2","0","0",0,0
"276",59,5,"0","2","2","1","0","0","1","0","1","0","0",0,0
"277",39,5,"3","0","2","1","0","0","1","1","1","0","0",0,0
"278",49,5,"3","2","2","0","0","0","1","1","1","0","0",0,0
"281",50,5,"1","2","1","1","0","0","1","2","1","0","0",0,0
"283",54,5,"3","2","3","0","0","0","1","1","2","0","0",0,0
"287",47,5,"3","2","2","1","0","0","1","0","1","0","0",0,0
"291",37,5,"2","2","3","1","0","0","1","0","1","0","0",0,0
"295",34,5,"3","2","2","1","0","0","1","2","2","0","0",0,0
"296",56,5,"3","0","1","1","0","0","1","2","1","0","0",0,0
"300",57,5,"3","2","2","1","0","0","1","0","1","0","0",0,0
"302",51,5,"3","2","2","1","0","0","1","1","1","0","0",0,0
"305",53,5,"3","2","0","1","0","0","1","1","1","0","0",0,0
"306",50,5,"3","2","2","1","0","0","1","1","1","0","0",0,0
"312",54,5,"3","2","0","1","0","0","1","0","1","0","0",0,0
"324",32,5,"3","0","3","0","0","0","1","0","1","0","0",0,0
"325",31,5,"3","1","2","1","0","0","1","1","1","0","0",0,0
"327",40,5,"1","1","2","1","0","0","1","1","1","0","0",0,0
"332",42,5,"1","2","0","1","0","0","1","2","1","0","0",0,0
"333",30,5,"1","1","2","1","0","0","1","0","1","0","0",0,0
"336",49,5,"1","2","2","1","0","0","1","0","2","0","0",0,0
"340",32,5,"3","1","2","1","0","0","1","1","1","0","0",0,0
"342",43,5,"2","0","2","1","0","0","1","0","1","0","0",0,0
"346",53,5,"3","2","0","0","0","0","1","2","1","0","0",0,0
"352",45,5,"1","2","2","1","0","0","1","2","1","0","0",0,0
"356",31,5,"3","1","2","1","0","0","1","1","1","0","0",0,0
"358",33,5,"2","1","3","1","0","0","1","2","1","0","0",0,0
"363",27,6,"3","2","2","1","0","0","1","0","1","0","0",0,0
"365",59,6,"3","2","2","1","0","0","1","1","1","0","0",0,0
"369",38,6,"3","0","3","1","0","0","1","1","0","0","0",0,0
"372",38,6,"3","2","2","1","1","0","1","1","0","0","0",0,0
"375",48,6,"1","2","0","1","0","0","1","1","0","0","0",0,0
"378",43,6,"1","2","1","1","0","0","1","1","0","0","0",0,0
"382",49,6,"3","2","2","1","1","0","1","1","0","0","0",0,0
"390",58,6,"1","0","0","1","0","0","1","1","0","0","0",0,0
"392",37,6,"3","2","3","1","0","0","1","0","0","0","0",0,0
"402",48,6,"3","2","2","1","1","0","1","2","0","0","0",0,0
"403",29,6,"2","1","3","1","0","0","1","0","0","0","0",0,0
"406",50,6,"2","2","3","0","0","0","1","2","0","0","0",0,0
"410",46,6,"1","2","2","1","0","0","1","1","0","0","0",0,0
"413",39,6,"3","1","2","1","0","0","1","2","0","0","0",0,0
"420",33,6,"3","2","2","1","0","0","1","2","0","0","0",0,0
"421",49,6,"2","1","3","1","0","0","1","2","1","0","0",0,0
"422",32,6,"2","1","3","1","0","0","1","0","0","0","0",0,0
"426",43,6,"2","2","2","1","0","0","1","1","1","0","0",0,0
"428",54,6,"1","2","1","1","0","0","1","0","0","0","0",0,0
"429",38,6,"3","1","3","1","0","0","1","0","0","0","0",0,0
"430",40,6,"1","2","2","1","0","0","1","1","0","0","0",0,0
"431",55,6,"3","2","2","1","0","0","1","2","0","0","0",0,0
"432",42,6,"2","2","3","1","0","0","1","2","0","0","0",0,0
"436",55,6,"3","2","2","1","0","0","1","0","0","0","0",0,0
"439",58,6,"3","0","2","0","0","0","1","1","0","0","0",0,0
"447",39,6,"3","1","0","1","0","0","1","2","0","0","0",1,0
"448",50,6,"2","2","0","1","0","0","1","0","0","0","0",0,0
"449",32,6,"3","1","2","1","0","0","1","0","0","0","0",0,0
"452",40,6,"3","2","2","0","0","0","1","0","0","0","0",0,0
"457",40,6,"3","1","2","1","1","0","1","0","0","0","0",0,0
"459",33,6,"1","1","2","0","0","0","1","1","0","0","0",0,0
"462",39,6,"1","2","1","1","0","0","1","1","1","0","0",0,0
"466",57,6,"0","1","2","0","1","0","1","1","2","0","0",0,0
"471",44,6,"3","0","2","1","0","0","1","0","0","0","0",0,0
"474",39,6,"1","2","2","1","0","0","1","0","0","0","0",0,0
"476",40,6,"1","2","1","1","0","0","1","1","1","0","0",0,0
"483",41,6,"3","2","2","1","1","0","1","1","0","0","0",0,0
"487",43,6,"1","0","2","1","1","0","1","2","0","0","0",0,0
"489",47,6,"3","2","0","1","0","0","1","0","0","0","0",0,0
"495",30,6,"1","0","2","1","0","0","1","1","1","0","0",0,0
"500",37,6,"3","1","2","1","0","0","1","0","0","0","0",0,0
"502",32,6,"3","1","0","0","0","0","1","0","0","0","0",0,0
"503",37,6,"2","1","3","1","1","0","1","2","0","0","0",0,0
"505",41,6,"1","2","2","1","0","0","1","2","0","0","0",0,0
"509",60,6,"0","2","2","0","0","0","1","0","0","0","0",0,0
"510",26,6,"3","1","2","1","0","0","1","1","0","0","0",0,0
"512",34,6,"3","2","2","1","0","0","1","1","0","0","0",0,0
"513",55,6,"0","0","2","1","0","0","1","2","0","0","0",1,0
"517",44,6,"3","2","0","0","1","0","1","0","1","0","0",0,0
"519",31,6,"3","2","2","1","1","0","1","0","0","0","0",0,0
"524",29,6,"2","1","3","1","0","0","1","1","0","0","0",0,0
"531",44,6,"1","2","1","0","0","0","1","0","0","0","0",0,0
"536",45,6,"1","0","2","1","0","0","1","0","1","0","0",0,0
"537",48,6,"1","2","2","1","0","0","1","0","0","0","0",0,0
"547",59,6,"1","0","0","1","0","0","1","0","0","0","0",0,0
"548",45,6,"1","2","2","1","0","0","1","1","0","0","0",0,0
"552",30,6,"3","2","2","1","0","0","1","0","1","0","0",0,0
"554",47,6,"2","2","0","1","0","0","1","1","0","0","0",0,0
"555",33,6,"1","2","2","1","0","0","1","0","0","0","0",0,0
"557",39,6,"3","0","1","1","0","0","1","0","1","0","0",0,0
"562",36,6,"3","0","2","1","0","0","1","0","0","0","0",0,0
"565",59,6,"3","0","2","1","1","0","1","0","0","0","0",0,0
"566",57,6,"1","2","1","1","1","0","1","2","0","0","0",0,0
"567",38,6,"2","2","0","1","0","0","1","2","0","0","0",0,0
"579",53,6,"1","2","1","1","0","0","1","1","1","0","0",0,0
"581",39,6,"1","0","1","1","1","0","1","0","1","0","0",0,0
"587",55,6,"1","2","2","1","0","0","1","1","1","0","0",0,0
"597",54,6,"3","2","2","1","0","0","1","0","1","0","0",0,0
"604",56,6,"1","2","1","1","1","0","1","2","1","0","0",0,0
"606",39,6,"1","2","2","1","1","0","1","1","0","0","0",0,0
"609",43,6,"2","2","2","1","0","0","1","1","0","0","0",0,0
"610",32,6,"3","2","2","1","1","0","1","0","0","0","0",0,0
"614",53,6,"1","2","2","1","0","0","1","1","0","0","0",0,0
"615",47,6,"3","2","0","1","0","0","1","0","0","0","0",0,0
"617",31,6,"1","1","3","1","1","0","1","2","0","0","0",0,0
"620",40,6,"3","1","0","1","0","0","1","0","1","0","0",0,0
"621",48,6,"3","2","2","0","0","0","1","0","1","0","0",0,0
"628",54,6,"3","0","2","1","0","0","1","2","1","0","0",0,0
"633",42,6,"1","2","1","1","0","0","1","1","0","0","0",0,0
"636",52,6,"3","2","2","0","0","0","1","1","1","0","0",0,0
"637",52,6,"1","0","1","1","0","0","1","0","0","0","0",0,0
"641",55,6,"2","1","2","1","0","0","1","2","1","0","0",0,0
"643",37,6,"1","1","2","1","0","0","1","1","0","0","0",0,0
"644",42,6,"3","1","2","1","0","0","1","1","0","0","0",0,0
"648",31,6,"0","1","2","1","0","0","1","0","1","0","0",0,0
"656",33,6,"1","2","2","1","0","0","1","1","0","0","0",0,0
"657",41,6,"3","2","0","0","0","0","1","1","1","0","0",0,0
"658",40,6,"1","2","1","1","1","0","1","0","0","0","0",0,0
"660",38,6,"2","2","0","1","0","0","1","0","0","0","0",0,0
"672",31,6,"1","1","2","1","0","0","1","1","1","0","0",0,0
"674",29,6,"1","2","2","1","0","0","1","1","1","0","0",0,0
"677",37,6,"1","2","1","1","1","0","1","1","1","0","0",0,0
"680",41,6,"3","2","2","1","0","0","1","0","1","0","0",0,0
"681",46,6,"3","2","0","1","0","0","1","1","1","0","0",0,0
"682",40,6,"3","0","2","1","0","0","1","1","1","0","0",0,0
"683",29,6,"3","2","2","1","1","0","1","2","0","0","0",0,0
"687",40,6,"2","1","3","1","0","0","1","1","1","0","0",0,0
"695",36,6,"3","2","2","1","1","0","1","2","1","0","0",1,0
"696",44,6,"2","2","3","1","0","0","1","2","1","0","0",0,0
"697",40,6,"3","2","2","1","0","0","1","0","1","0","0",0,0
"698",49,6,"1","2","2","1","0","0","1","1","1","0","0",0,0
"699",30,6,"3","1","0","1","0","0","1","0","1","0","0",0,0
"700",57,6,"2","2","3","1","0","0","1","1","1","0","0",0,0
"701",24,6,"3","1","2","1","1","0","1","2","1","0","0",0,0
"703",33,6,"3","2","2","0","0","0","1","1","1","0","0",0,0
"706",40,6,"1","0","1","0","0","0","1","0","1","0","0",0,0
"709",47,6,"3","2","2","1","0","0","1","0","1","0","0",0,0
"710",33,6,"1","2","2","1","0","0","1","0","1","0","0",0,0
"717",53,6,"0","2","2","1","0","0","1","2","1","0","0",0,0
"719",44,6,"1","0","2","1","0","0","1","1","1","0","0",0,0
"724",28,6,"3","1","2","1","0","0","1","0","1","0","0",0,0
"725",36,6,"1","2","2","1","0","0","1","0","1","0","0",0,0
"727",42,6,"3","0","2","1","0","0","1","0","2","0","0",0,0
"728",42,6,"3","2","2","1","0","0","1","0","1","0","0",0,0
"730",51,6,"1","0","1","1","0","0","1","1","1","0","0",0,0
"732",47,6,"2","2","0","1","0","0","1","0","1","0","0",0,0
"733",37,6,"1","2","2","1","0","0","1","0","2","0","0",0,0
"734",34,6,"2","2","3","1","0","0","1","1","1","0","0",0,0
"736",35,6,"1","1","2","1","1","0","1","1","1","0","0",0,0
"743",41,6,"1","2","1","1","0","0","1","1","1","0","0",0,0
"747",56,6,"2","2","0","0","0","0","1","1","1","0","0",0,0
"748",31,6,"2","2","3","1","0","0","1","1","1","0","0",0,0
"755",37,6,"3","1","2","1","1","0","1","0","1","0","0",0,0
"761",33,6,"1","0","2","0","0","0","1","1","1","0","0",0,0
"762",44,6,"1","2","1","1","0","0","1","1","1","0","0",0,0
"765",42,6,"3","2","3","1","1","0","1","1","1","0","0",0,0
"768",46,7,"3","2","2","0","0","0","1","0","1","0","0",0,0
"769",29,7,"0","1","2","1","0","0","1","0","1","0","0",0,0
"770",39,7,"1","2","1","1","0","0","1","0","1","0","0",0,0
"771",42,7,"3","2","2","1","0","0","1","0","1","0","0",0,0
"773",42,7,"3","1","2","1","0","0","1","1","2","0","0",0,0
"776",46,7,"3","2","2","1","0","0","1","2","1","0","0",0,0
"777",42,7,"1","2","2","1","0","0","1","1","1","0","0",0,0
"786",42,7,"2","0","3","1","0","0","1","2","1","0","0",0,0
"790",59,7,"0","2","2","1","0","0","1","0","0","0","0",0,0
"793",40,7,"0","2","1","1","0","0","1","2","0","0","0",0,0
"795",46,7,"2","2","3","1","0","0","1","1","0","0","0",0,0
"803",36,7,"3","2","2","1","0","0","1","0","1","0","0",0,0
"808",31,7,"3","2","2","1","0","0","1","1","0","0","0",0,0
"809",56,7,"0","1","1","1","0","0","1","0","0","0","0",0,0
"815",57,7,"3","2","2","0","0","0","1","2","0","0","0",0,0
"816",45,7,"1","2","1","1","0","0","1","2","1","0","0",0,0
"821",58,7,"3","0","2","1","1","0","1","0","0","0","0",0,0
"823",39,7,"1","2","1","1","0","0","1","1","0","0","0",0,0
"825",34,7,"3","2","2","1","0","0","1","0","0","0","0",0,0
"829",55,7,"0","2","2","1","0","0","1","0","0","0","0",0,0
"831",40,7,"2","0","3","1","0","0","1","2","1","0","0",0,0
"832",42,7,"1","1","1","1","0","0","1","0","0","0","0",0,0
"833",37,7,"1","2","2","1","0","0","1","1","0","0","0",0,0
"834",42,7,"2","2","3","1","0","0","1","0","0","0","0",0,0
"837",30,7,"3","1","2","1","0","0","1","0","0","0","0",0,0
"843",31,7,"3","1","2","1","0","0","1","2","0","0","0",0,0
"846",33,7,"1","2","1","1","0","0","1","0","1","0","0",0,0
"854",38,7,"1","2","2","1","0","0","1","2","0","0","0",0,0
"855",43,7,"1","0","2","1","0","0","1","1","0","0","0",0,0
"864",40,7,"2","1","3","1","0","0","1","0","0","0","0",0,0
"868",26,7,"1","1","2","1","0","0","1","0","0","0","0",0,0
"869",38,7,"2","1","3","1","0","0","1","1","0","0","0",0,0
"884",38,7,"1","2","1","1","0","0","1","0","1","0","0",0,0
"889",32,7,"2","2","3","1","0","0","1","1","0","0","0",0,0
"890",47,7,"2","0","3","0","1","0","1","0","0","0","0",0,0
"893",31,7,"3","2","3","1","1","0","1","1","0","0","0",0,0
"894",59,7,"1","2","2","1","0","0","1","0","0","0","0",0,0
"899",49,7,"3","2","2","1","0","0","1","0","1","0","0",0,0
"900",43,7,"1","2","2","1","0","0","1","1","0","0","0",0,0
"908",50,7,"1","2","1","1","0","0","1","1","0","0","0",0,0
"915",57,7,"2","2","1","1","0","0","1","2","0","0","0",0,0
"919",38,7,"1","2","0","1","0","0","1","1","1","0","0",0,0
"922",41,7,"3","2","2","1","0","0","1","1","1","0","0",0,0
"923",37,7,"2","2","3","1","0","0","1","2","1","0","0",0,0
"924",30,7,"3","1","3","1","0","0","1","2","1","0","0",0,0
"927",35,7,"3","2","2","0","0","0","1","0","0","0","0",0,0
"930",33,7,"3","2","2","1","1","0","1","1","0","0","0",0,0
"934",39,7,"1","2","2","1","0","0","1","0","0","0","0",0,0
"940",26,7,"3","2","2","1","0","0","1","0","1","0","0",0,0
"947",35,7,"3","2","2","0","0","0","1","1","1","0","0",0,0
"951",29,7,"2","2","2","1","1","0","1","2","1","0","0",0,0
"952",51,7,"3","2","2","1","0","0","1","2","1","0","0",0,0
"955",43,7,"3","1","0","1","0","0","1","2","1","0","0",0,0
"956",42,7,"3","2","3","1","0","0","1","0","0","0","0",0,0
"959",38,7,"3","2","2","1","0","0","1","0","1","0","0",0,0
"962",57,7,"0","2","3","1","0","0","1","0","0","0","0",0,0
"965",46,7,"1","2","1","1","0","0","1","1","0","0","0",0,0
"969",53,7,"1","2","2","1","0","0","1","2","1","0","0",0,0
"970",30,7,"3","1","2","1","0","0","1","0","1","0","0",0,0
"971",41,7,"2","0","2","1","0","0","1","0","0","0","0",0,0
"974",58,7,"0","2","2","1","0","0","1","2","0","0","0",0,0
"975",31,7,"0","2","2","1","0","0","1","0","1","0","0",0,0
"980",52,7,"3","2","1","1","0","0","1","1","1","0","0",0,0
"985",51,7,"1","2","1","1","0","0","1","2","1","0","0",0,0
"986",40,7,"0","1","2","1","0","0","1","1","0","0","0",0,0
"993",38,7,"1","1","2","1","0","0","1","0","0","0","0",0,0
"994",52,7,"1","2","3","1","0","0","1","0","0","0","0",0,0
"995",29,7,"1","2","2","1","1","0","1","0","0","0","0",0,0
"1001",47,7,"3","2","0","1","0","0","1","0","0","0","0",0,0
"1005",44,7,"1","0","2","1","0","0","1","2","0","0","0",0,0
"1008",41,7,"1","2","0","1","0","0","1","2","1","0","0",0,0
"1022",48,7,"3","2","2","1","0","0","1","0","2","0","0",0,0
"1027",40,7,"3","2","1","1","0","0","1","2","0","0","0",0,0
"1033",37,7,"3","2","3","1","1","0","1","0","1","0","0",0,0
"1037",29,7,"1","1","1","1","1","0","1","1","1","0","0",0,0
"1039",32,7,"3","2","2","0","0","0","1","2","1","0","0",0,0
"1041",56,7,"1","2","1","1","1","0","1","1","1","0","0",0,0
"1042",48,7,"3","2","2","1","0","0","1","2","0","0","0",0,0
"1045",42,7,"3","0","2","1","0","0","1","1","1","0","0",0,0
"1046",34,7,"1","2","2","1","0","0","1","0","1","0","0",0,0
"1047",23,7,"2","1","3","1","0","0","1","1","2","0","0",0,0
"1049",51,7,"2","2","1","1","0","0","1","0","1","0","0",0,0
"1055",36,7,"1","2","1","1","0","0","1","2","1","0","0",0,0
"1056",46,7,"1","2","1","1","0","0","1","0","2","0","0",0,0
"1057",44,7,"1","2","1","1","0","0","1","2","1","0","0",0,0
"1058",47,7,"1","2","2","1","0","0","1","0","1","0","0",0,0
"1061",46,7,"1","2","2","1","0","0","1","0","1","0","0",0,0
"1072",31,7,"3","2","2","0","0","0","1","1","1","0","0",0,0
"1073",29,7,"0","1","1","1","0","0","1","0","1","0","0",0,0
"1074",39,7,"1","1","2","1","0","0","1","1","1","0","0",0,0
"1079",56,7,"2","2","1","1","0","0","1","1","1","0","0",0,0
"1082",54,7,"3","1","2","1","0","0","1","1","1","0","0",0,0
"1085",34,7,"1","2","2","1","0","0","1","1","1","0","0",0,0
"1086",35,7,"3","2","1","1","0","0","1","1","0","0","0",0,0
"1092",33,7,"2","1","3","1","0","0","1","1","1","0","0",0,0
"1094",46,7,"1","1","2","1","0","0","1","1","1","0","0",0,0
"1095",32,7,"3","2","2","1","0","0","1","0","1","0","0",0,0
"1096",43,7,"2","2","1","1","0","0","1","0","2","0","0",0,0
"1102",38,7,"1","2","1","0","0","0","1","2","1","0","0",0,0
"1104",52,7,"3","2","0","1","0","0","1","1","2","0","0",0,0
"1109",52,7,"1","0","1","1","0","0","1","0","1","0","0",0,0
"1114",48,7,"1","2","2","1","1","0","1","0","1","0","0",0,0
"1115",46,7,"1","2","2","1","1","0","1","0","0","0","0",0,0
"1122",49,7,"1","2","0","1","0","0","1","2","0","0","0",0,0
"1134",46,7,"1","2","2","1","1","0","1","0","0","0","0",0,0
"1136",28,7,"2","2","3","1","0","0","1","0","2","0","0",0,0
"1137",28,7,"1","2","1","1","0","0","1","2","1","0","0",0,0
"1138",36,7,"3","0","2","1","0","0","1","1","1","0","0",0,0
"1142",34,7,"3","0","2","1","0","0","1","0","1","0","0",0,0
"1149",48,7,"3","0","2","1","0","0","1","0","2","0","0",0,0
"1155",28,7,"3","1","2","1","0","0","1","2","1","0","0",0,0
"1157",48,8,"3","2","2","1","0","0","1","0","1","0","0",0,0
"1159",59,8,"0","2","0","0","0","0","1","2","2","0","0",0,0
"1162",50,8,"1","2","1","1","0","0","1","1","1","0","0",0,0
"1163",31,8,"2","1","3","1","0","0","1","1","1","0","0",0,0
"1168",30,8,"3","0","2","1","0","0","1","0","2","0","0",0,0
"1169",34,8,"2","2","1","1","0","0","1","0","1","0","0",0,0
"1171",41,8,"1","2","1","1","0","0","1","0","0","0","0",0,0
"1174",39,8,"1","2","1","0","0","0","1","2","0","0","0",1,0
"1177",37,8,"1","2","1","1","1","0","1","1","0","0","0",0,0
"1183",29,8,"3","0","2","1","1","0","1","2","0","0","0",0,0
"1186",35,8,"2","2","1","1","0","0","1","1","0","0","0",0,0
"1192",41,8,"2","0","3","1","0","0","1","0","1","0","0",0,0
"1194",35,8,"2","0","3","1","0","0","1","2","0","0","0",1,0
"1198",51,8,"2","2","1","1","1","0","1","0","0","0","0",0,0
"1207",40,8,"3","2","3","1","0","0","1","0","1","0","0",0,0
"1209",34,8,"2","2","3","1","0","0","1","0","0","0","0",0,0
"1213",36,8,"1","1","1","1","0","0","1","2","0","0","0",0,0
"1218",32,8,"1","1","2","1","1","0","1","0","0","0","0",0,0
"1222",41,8,"3","1","2","1","0","0","1","2","0","0","0",0,0
"1225",38,8,"2","2","2","1","0","0","1","0","0","0","0",0,0
"1226",27,8,"0","1","2","1","0","0","1","1","0","0","0",0,0
"1233",42,8,"3","2","2","1","0","0","1","0","1","0","0",0,0
"1234",61,8,"1","2","1","1","0","0","1","1","0","0","0",0,0
"1241",34,8,"1","1","1","1","0","0","1","2","0","0","0",0,0
"1246",26,8,"1","1","1","1","0","0","1","0","0","0","0",0,0
"1247",35,8,"3","1","2","1","0","0","1","1","0","0","0",0,0
"1252",58,8,"0","2","3","1","0","0","1","0","1","0","0",0,0
"1253",43,8,"1","2","2","1","0","0","1","1","0","0","0",0,0
"1256",43,8,"3","0","2","1","0","0","1","1","0","0","0",0,0
"1262",33,8,"3","1","3","1","0","0","1","0","0","0","0",0,0
"1265",37,8,"3","1","0","1","0","0","1","0","1","0","0",0,0
"1266",34,8,"1","2","2","1","1","0","1","2","0","0","0",0,0
"1274",41,8,"3","2","2","1","0","0","1","2","1","0","0",1,0
"1286",39,8,"2","1","3","1","0","0","1","0","1","0","0",0,0
"1288",32,8,"3","2","2","1","0","0","1","1","0","0","0",0,0
"1291",26,8,"1","1","2","1","0","0","1","1","0","0","0",0,0
"1293",41,8,"0","1","1","1","0","0","1","1","1","0","0",0,0
"1295",36,8,"3","1","2","1","0","0","1","0","0","0","0",0,0
"1297",30,8,"1","2","1","1","0","0","1","0","0","0","0",0,0
"1302",28,8,"3","2","1","1","0","0","1","0","0","0","0",0,0
"1303",55,8,"0","1","3","1","0","0","1","0","0","0","0",0,0
"1305",38,8,"2","0","3","1","0","0","1","2","0","0","0",0,0
"1310",32,8,"2","1","3","1","0","0","1","0","0","0","0",0,0
"1315",36,8,"2","2","3","0","0","0","1","2","0","0","0",0,0
"1318",51,8,"1","2","0","1","0","0","1","0","1","0","0",0,0
"1321",31,8,"3","2","2","1","0","0","1","2","0","0","0",0,0
"1322",42,8,"1","2","1","1","0","0","1","1","1","0","0",0,0
"1323",55,8,"2","2","1","1","0","0","1","0","0","0","0",0,0
"1324",57,8,"2","2","3","1","0","0","1","2","0","0","0",0,0
"1326",44,8,"1","2","2","1","0","0","1","0","0","0","0",0,0
"1327",30,8,"3","2","2","1","0","0","1","2","0","0","0",0,0
"1335",49,8,"3","2","1","1","0","0","1","0","0","0","0",0,0
"1344",49,8,"3","2","2","1","0","0","1","0","0","0","0",0,0
"1345",50,8,"3","2","2","1","0","0","1","0","0","0","0",0,0
"1352",46,8,"1","2","1","1","0","0","1","1","1","0","0",0,0
"1354",40,8,"1","2","1","1","1","0","1","1","0","0","0",0,0
"1357",27,8,"3","2","1","1","0","0","1","0","1","0","0",0,0
"1358",43,8,"1","2","1","1","0","0","1","2","0","0","0",0,0
"1359",28,8,"1","2","0","1","0","0","1","0","0","0","0",0,0
"1362",41,8,"3","2","2","1","0","0","1","0","0","0","0",0,0
"1363",39,8,"3","1","2","1","0","0","1","1","0","0","0",0,0
"1365",41,8,"0","2","1","1","0","0","1","1","1","0","0",0,0
"1368",28,8,"2","2","3","1","1","0","1","0","1","0","0",0,0
